Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
xsec-1,,832139.402,9997444.113,3782.420,right monument (floodplain),-78.01650510,-0.02309235,3782.420,0.011,0.010,0.018,0.016,2.164,m,FIX,2023-06-18 12:19:38.0 UTC-05:00,2023-06-18 12:19:48.0 UTC-05:00,11,1.3,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.139,WGS 84 / UTM zone 17S
xsec-2,,832139.857,9997443.984,3782.315,floodplain,-78.01650101,-0.02309352,3782.315,0.010,0.011,0.015,0.015,2.164,m,FIX,2023-06-18 12:24:12.0 UTC-05:00,2023-06-18 12:24:22.0 UTC-05:00,11,1.6,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.092,WGS 84 / UTM zone 17S
xsec-3,,832140.451,9997443.822,3782.060,floodplain,-78.01649569,-0.02309499,3782.060,0.012,0.013,0.025,0.018,2.164,m,FIX,2023-06-18 12:25:08.0 UTC-05:00,2023-06-18 12:25:18.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.071,WGS 84 / UTM zone 17S
xsec-4,,832140.988,9997443.715,3781.818,floodplain,-78.01649087,-0.02309596,3781.818,0.012,0.011,0.019,0.016,2.164,m,FIX,2023-06-18 12:26:51.0 UTC-05:00,2023-06-18 12:27:01.0 UTC-05:00,11,1.3,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.095,WGS 84 / UTM zone 17S
xsec-5,,832141.417,9997443.499,3781.446,floodplain,-78.01648702,-0.02309790,3781.446,0.010,0.010,0.017,0.015,2.164,m,FIX,2023-06-18 12:28:00.0 UTC-05:00,2023-06-18 12:28:10.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.022,WGS 84 / UTM zone 17S
xsec-6,,832141.905,9997443.297,3781.389,floodplain,-78.01648264,-0.02309972,3781.389,0.011,0.011,0.023,0.015,2.164,m,FIX,2023-06-18 12:29:09.0 UTC-05:00,2023-06-18 12:29:19.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,15.989,WGS 84 / UTM zone 17S
xsec-7,,832142.523,9997443.057,3781.420,floodplain,-78.01647709,-0.02310189,3781.420,0.010,0.010,0.016,0.015,2.164,m,FIX,2023-06-18 12:30:02.0 UTC-05:00,2023-06-18 12:30:12.0 UTC-05:00,11,1.3,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,15.989,WGS 84 / UTM zone 17S
xsec-8,,832143.134,9997442.897,3781.560,floodplain,-78.01647161,-0.02310334,3781.560,0.010,0.010,0.015,0.015,2.164,m,FIX,2023-06-18 12:31:04.0 UTC-05:00,2023-06-18 12:31:14.0 UTC-05:00,11,1.3,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.074,WGS 84 / UTM zone 17S
xsec-9,,832143.595,9997442.737,3781.285,floodplain,-78.01646747,-0.02310479,3781.285,0.010,0.011,0.016,0.015,2.164,m,FIX,2023-06-18 12:31:44.0 UTC-05:00,2023-06-18 12:31:54.0 UTC-05:00,11,1.4,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.128,WGS 84 / UTM zone 17S
xsec-10,,832144.182,9997442.552,3781.680,floodplain,-78.01646220,-0.02310646,3781.680,0.012,0.012,0.013,0.017,2.164,m,FIX,2023-06-18 12:33:04.0 UTC-05:00,2023-06-18 12:33:14.0 UTC-05:00,11,1.5,832136.527,9997428.239,3784.016,-78.01653090,-0.02323578,3784.016,16.227,WGS 84 / UTM zone 17S
