Location	Date	#	Cover	B_diameter_(mm)
La dormida (captación)	06/18/2023	1	Pebble	110
La dormida (captación)	06/18/2023	2	Pebble	80
La dormida (captación)	06/18/2023	N/A	Soil	N/A
La dormida (captación)	06/18/2023	3	Pebble	230
La dormida (captación)	06/18/2023	4	Pebble	180
La dormida (captación)	06/18/2023	5	Pebble	80
La dormida (captación)	06/18/2023	6	Pebble	85
La dormida (captación)	06/18/2023	7	Pebble	79
La dormida (captación)	06/18/2023	N/A	Moss	N/A
La dormida (captación)	06/18/2023	8	Pebble	95
La dormida (captación)	06/18/2023	9	Pebble	65
La dormida (captación)	06/18/2023	10	Pebble	35
La dormida (captación)	06/18/2023	11	Pebble	210
La dormida (captación)	06/18/2023	12	Pebble	230
La dormida (captación)	06/18/2023	N/A	Sand	N/A
La dormida (captación)	06/18/2023	13	Pebble	135
La dormida (captación)	06/18/2023	14	Pebble	170
La dormida (captación)	06/18/2023	15	Pebble	40
La dormida (captación)	06/18/2023	16	Pebble	135
La dormida (captación)	06/18/2023	17	Pebble	100
La dormida (captación)	06/18/2023	18	Pebble	110
La dormida (captación)	06/18/2023	N/A	Sand	N/A
La dormida (captación)	06/18/2023	N/A	Vascular plant	N/A
La dormida (captación)	06/18/2023	N/A	Soil	N/A
La dormida (captación)	06/18/2023	19	Pebble	105
La dormida (captación)	06/18/2023	N/A	Sand	N/A
La dormida (captación)	06/18/2023	20	Pebble	75
La dormida (captación)	06/18/2023	21	Pebble	152
La dormida (captación)	06/18/2023	22	Pebble	103
La dormida (captación)	06/18/2023	23	Pebble	115
La dormida (captación)	06/18/2023	24	Pebble	148
La dormida (captación)	06/18/2023	25	Pebble	114
La dormida (captación)	06/18/2023	26	Pebble	88
La dormida (captación)	06/18/2023	27	Pebble	112
La dormida (captación)	06/18/2023	28	Pebble	136
La dormida (captación)	06/18/2023	29	Pebble	110
La dormida (captación)	06/18/2023	30	Pebble	120
La dormida (captación)	06/18/2023	31	Pebble	148
La dormida (captación)	06/18/2023	32	Pebble	115
La dormida (captación)	06/18/2023	33	Pebble	65
La dormida (captación)	06/18/2023	34	Pebble	70
La dormida (captación)	06/18/2023	35	Pebble	100
